node,type,incident_ids
GATE,FAC,"19971226042729I, 20000625032189I"
FUEL LEVER,SYS,19971226042729I
SMOKE,PROB,19971226042729I
HIGH OIL TEMP,PROB,19950619021589I
OIL,OPS,"19860530030499A, 19940818022409A, 19950619021589I, 20030620012809I"
SHEARED MAIN GEAR,SYS,19950619021589I
BATTERY COMPARTMENT DOOR,SYS,19940815046149I
ANTENNA,SYS,19940815046149I
WINDSHIELD,SYS,"19820725041999I, 19940412011509I, 19940815046149I"
NOSE GEAR,SYS,"19860228038269I, 19870319012959I"
PIN,SYS,"19860228038269I, 19870319012959I"
PREVIOUS MAINTENANCE,PROCEDURE,19860228038269I
GROUND STAND,FAC,19790718019229I
GROUND STAND BAGGAGE CART WITH INOPERATIVE BRAKES,VEHICLE,19790718019229I
9 INCH TEAR IN FUSELAGE,PROB,19790718019229I
9 INCH,QUANTITY,19790718019229I
FUSELAGE,VEHICLE,"19790718019229I, 19821117066379I"
NORTHWEST AIRLINES DC-10,VEHICLE,20000625032189I
NORTHWEST AIRLINES,ORG,20000625032189I
BOEING,ORG,20000625032189I
GATE B-52,FAC,20000625032189I
CONTINENTAL AIRLINES,ORG,20000625032189I
ENGINE OVERHEAT,PROB,19860530030499A
HOT OIL SMELL,PROB,19860530030499A
AIR INTAKE PLUGS,SYS,19860530030499A
ACCESS DOOR,SYS,19821117066379I
DOOR,SYS,"19780913017419I, 19821117066379I, 19860128014289I, 19940815046149I, 19951031041599A, 19960524045629A, 19970523014439I, 20050504010229A"
RUNWAY,FAC,"19790211002709A, 19801005072789I, 19810303007119A, 19911222062669I, 19960418007829A, 20040304003309I"
LANDING,PHASE,"19780509032859I, 19801116083749I, 19810303007119A, 19840821046409A, 19860514036219I, 19860706034879A, 19871027060859A, 19890723054159I, 19950314029269I"
PARKED AIRPLANE,VEHICLE,19810303007119A
NEWLY INSTALLED CARPETING,SYS,19810303007119A
RUDDER PEDAL,SYS,19810303007119A
TAXIWAY,FAC,"19781113027039I, 19950602032329I, 20050429009279I"
DAMAGED PROP,SYS,19950602032329I
RIGHT TANK,SYS,19901101064289I
GAS,OPS,19901101064289I
CAP,SYS,"19800804037399A, 19900425011659A, 19901101064289I, 19940226003029A, 20030620012809I"
FLIGHT,FLIGHT,"19780427013859I, 19871027060859A, 19900425011659A, 19901101064289I, 19961027033759A, 19980415037339I, 20000215041409A"
"JULY 13, 2005",DATE,20050713014239I
1535 MST,TIME,20050713014239I
"RAYTHEON AIRCRAFT CO. B36TC (BONANZA), N3042V REGISTERED TO HAVENS LEASING",VEHICLE,20050713014239I
RAYTHEON AIRCRAFT CO.,ORG,20050713014239I
BONANZA,VEHICLE,20050713014239I
N3042V,VEHICLE,20050713014239I
HAVENS LEASING,ORG,20050713014239I
TANKS,SYS,"19850418016709I, 19860706034879A"
WATER IN FUEL,PROB,"19780509032859I, 19791128035159A, 19860706034879A, 19950804028629A"
ROAD,FAC,19840121015319I
SOLID ICE IN CARBURETOR BOWL,PROB,19840121015319I
CARBURETOR BOWL,SYS,19840121015319I
CLIMBOUT,PHASE,"19791128035159A, 19870523018729A, 19871211075169A, 19880527016939A, 19910710026989A, 19950527014439A, 19951031041599A"
TOW RELEASE,PHASE,19950527014439A
RIGHT AILERON,SYS,19950527014439A
MAINTENANCE,PROCEDURE,"19860228038269I, 19960322013629I"
GEAR,SYS,"19860228038269I, 19870319012959I, 19950619021589I, 19960322013629I, 19980415037339I, 20010910029739I"
NOSE BLOCK,SYS,19960322013629I
TRAILER TIE DOWN,OPS,19960504009509A
TRAILER,VEHICLE,"19780916024019A, 19960504009509A"
SKID,PROB,19960504009509A
LIFTOFF,PHASE,"19790211002709A, 19911222062669I"
SNOW BANK,LOC,19790211002709A
FROST ON AIRFRAME,PROB,19790211002709A
AIRFRAME,VEHICLE,"19790211002709A, 20040925025079A"
ENGINE POWER FAILURE,PROB,19850418016709I
ENGINE POWER,OPS,19850418016709I
AEROBATICS,FLIGHT,19850418016709I
FIELD,LOC,"19791128035159A, 19850418016709I, 19850729066139I"
FUEL TANKS,SYS,19850418016709I
ABORTED TAKEOFF,PHASE,19780913017419I
FRONT BAGGAGE DOOR,SYS,19780913017419I
MAG SWITCH,SYS,19870606018859A
ONE MAG,SYS,19870606018859A
FRONT RANGE AIRPORT,FAC,19990714022959I
START AND RUN,PROCEDURE,19990714022959I
"SIKORSKY S-70A, N160LA",VEHICLE,20050504010229A
SIKORSKY S-70A,VEHICLE,20050504010229A
SIKORSKY,ORG,20050504010229A
N160LA,VEHICLE,20050504010229A
VIBRATION,PROB,20050504010229A
APU DOOR,SYS,20050504010229A
MAIN ROTOR BLADE,SYS,20050504010229A
CARGO TRIP,FLIGHT,20050429009279I
INSUFFICIENT NUMBER OF SEATS AND OXYGEN MASKS FOR PASSENGERS ONBOARD,OPS,19890723054159I
CARGO DOOR,SYS,"19860128014289I, 19970523014439I"
MR. BOWEN,PER,19970523014439I
RUNWAY CONDITIONS,PROB,19970523014439I
STEVEN'S VILLAGE,GPE,19970523014439I
TIEDOWN CHAINS,OPS,19970908038069A
RAMP PERSON,PER,19970908038069A
SKIDS,SYS,19970908038069A
HIGH WIND,PROB,19970908038069A
BAGGAGE CART,VEHICLE,"19781108022239I, 19790718019229I"
PARKED AIRCRAFT,VEHICLE,"19780402008409I, 19781108022239I"
CART,VEHICLE,"19781108022239I, 19790718019229I"
GLIDER,VEHICLE,19760606015529A
NOSE HIGH ATTITUDE,PROB,19760606015529A
NOSE,SYS,19760606015529A
HELICOPTER ENGINE POWER CHECKS,PROCEDURE,20051009024969I
HELICOPTER ENGINE,SYS,20051009024969I
ONE CREWMEMBER,PER,20051009024969I
TAKEOFF ROLL,PROCEDURE,"19800506012169A, 19930530020029I, 19970828026989A"
PILOTS SEAT,SYS,"19890725041869I, 19930530020029I"
PILOTS,PER,"19890725041869I, 19930530020029I"
FLAT NOSE STRUT,SYS,19801230089799I
AIRPLANE STRUCTURE,SYS,19801230089799I
AIRPLANE,VEHICLE,"19800506012169A, 19801230089799I, 19810303007119A, 19960418007829A"
BELLCRANK,SYS,19801230089799I
SLOPE,LOC,19980508008619A
NO EVIDENCE OF FUEL AT SCENE,PROB,19980508008619A
LEFT ENGINE,SYS,19940818022409A
H71,FAC,19940818022409A
BAD OIL LEAK,PROB,19940818022409A
CRACKED ENGINE CASE,SYS,19940818022409A
2500 FT SOD STRIP,FAC,19920405008919A
2500 FT,QUANTITY,19920405008919A
GUSTY NORTH WIND,PROB,19920405008919A
STRIP,FAC,"19920405008919A, 19940226003029A"
CRASH,PROB,19840821046409A
ENGINE FAILURE,PROB,19840821046409A
ANNUAL INSPECTION,PROCEDURE,19840821046409A
"PILOT OF CESSNA 207, N1549U",PER,19950216008379I
"CESSNA 207, N1549U",VEHICLE,19950216008379I
CESSNA 207,VEHICLE,19950216008379I
CESSNA,ORG,19950216008379I
N1549U,VEHICLE,19950216008379I
TAKEOFF FROM THE BETHEL AIRPORT,PHASE,19950216008379I
BETHEL AIRPORT,FAC,19950216008379I
3 MILES FROM AIRPORT,LOC,19850525020799A
3 MILES,QUANTITY,19850525020799A
AIRPORT,FAC,"19850525020799A, 19950216008379I, 19950314029269I, 19990714022959I, 20030607012509A, 20070630826079I"
TCA,LOC,19861114075329I
ATC COMMUNICATION,OPS,19861114075329I
ATC,PER,19861114075329I
MALFUNCTIONING ENCODING ALTIMETER,SYS,19861114075329I
CRUISE FLIGHT,PHASE,20010421009329I
RPM LOSS,PROB,20010421009329I
NOSE BAGGAGE DOOR,SYS,"19951031041599A, 19960524045629A"
BAGGAGE,OPS,19960524045629A
LEFT PROP,SYS,19960524045629A
SEA,LOC,19960524045629A
ROUGH ENGINE,SYS,19871211075169A
CITY STREET,FAC,19871211075169A
SPARK PLUGS,SYS,19871211075169A
PRIMER,SYS,19871211075169A
TAXI OUT,PHASE,20010910029739I
CFI,PER,20010910029739I
NOSE LANDING GEAR GREEN LIGHT,SYS,20010910029739I
NOSE LANDING GEAR,SYS,"19980415037339I, 20010910029739I"
LIGHTS,SYS,20010910029739I
ELECTRIC POWER,OPS,19871027060859A
IFR DUAL FLIGHT,FLIGHT,19871027060859A
CIRCUIT BREAKER,SYS,19871027060859A
PILOT ERROR,PROB,"19870523018729A, 19871027060859A"
LOUD BANG,PROB,19980616023109I
SHUDDER,PROB,19980616023109I
SPARKS,PROB,19980616023109I
ROTOR,SYS,19980616023109I
ENGINE COWLING,SYS,"19780427013859I, 19980616023109I"
COWL,SYS,19980616023109I
PROBLEM,PROB,19910710026989A
NO LOCKING PINS IN SEAT TRACK,SYS,19910710026989A
SEAT TRACK,SYS,19910710026989A
SEAT PIN,SYS,19910710026989A
BELT,SYS,19910710026989A
POWER LOSS,PROB,19780509032859I
AILERON-ELEVATOR LOCK PIN,SYS,19800506012169A
RAIN SHOWER,PROB,19791128035159A
ROTATION,PHASE,20060621012279A
SEAT,SYS,"19890725041869I, 19930530020029I, 20060621012279A"
"MARCH 14, 1995",DATE,19950314029269I
"N7016M, AN AMATEUR BUILT AIRCRAFT",VEHICLE,19950314029269I
N7016M,VEHICLE,19950314029269I
AMATEUR BUILT AIRCRAFT,VEHICLE,19950314029269I
EMERGENCY OFF AIRPORT LANDING,PHASE,19950314029269I
EARLY FUEL EXHAUSTION FROM FUEL SIPHONING,PROB,19800804037399A
FUEL SIPHONING,PROB,19800804037399A
IMPROPERLY SECURED VENT CAP,SYS,19800804037399A
EMERGENCY LANDING AREA,LOC,19800804037399A
TAXIING AIRCRAFT,VEHICLE,19780402008409I
WORN OUT & INEFFECTIVE BRAKES,SYS,19780402008409I
ENGINE START,PHASE,19890725041869I
THROTTLE,SYS,19890725041869I
PARKED PLANE,VEHICLE,19890725041869I
RIGHT FUEL CAP,SYS,19911222062669I
BARTLESVILLE MUNICIPAL AIRPORT (BVO),FAC,20030607012509A
BVO,FAC,20030607012509A
BARTLESVILLE,GPE,20030607012509A
OK,GPE,20030607012509A
1147 AM LOCAL TIME,TIME,20030607012509A
REMAINING BRAKE,SYS,19801005072789I
WHEELS,SYS,19781210024199I
SEVERAL TOUCH AND GO LANDINGS,PHASE,19781210024199I
SNOW PACKED IN THE WHEEL PANTS,PROB,19781210024199I
WHEEL,SYS,19781210024199I
FLOATS,OPS,19950804028629A
LONGERON,SYS,19950804028629A
WATER IN SUMP,PROB,19950804028629A
SUMP,SYS,19950804028629A
NORMAL TOUCHDOWN,PHASE,20040304003309I
NOTH PLATTE,GPE,20070202001609A
NE,GPE,20070202001609A
IOWA CITY,GPE,20070202001609A
IA,GPE,20070202001609A
487 STATUTE MILES,QUANTITY,20070202001609A
NEAR GRINNELL,LOC,20070202001609A
GRINNELL,GPE,20070202001609A
TIE DOWN STRAP ACROSS LEFT SKID,OPS,19780916024019A
LEFT SKID,SYS,19780916024019A
THE PILOT IN COMMAND (PIC),PER,20060718018299I
PIC,PER,20060718018299I
ALL FUEL TANK CAPS,SYS,20060718018299I
DEPARTURE,PHASE,"19960418007829A, 20060718018299I"
FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER,PROB,20040925025079A
AIRFRAME FUEL FILTER,SYS,20040925025079A
FUEL FILTER,SYS,20040925025079A
ENGINE DRIVEN FUEL PUMP FILTER,SYS,20040925025079A
DEMO FLIGHT,FLIGHT,19961027033759A
CONNECTING ROD,SYS,19961027033759A
HYDRO LOCK IN NR5 CYL,SYS,19961027033759A
NR5 CYL,SYS,19961027033759A
STARTUP,PHASE,19961027033759A
COUNTER WT,SYS,19961027033759A
PORP SHAFT,SYS,19961027033759A
N106DA,VEHICLE,19870309039779I
BRAKE PROBLEMS ON THE AIRCRAFT,PROB,19870309039779I
BRAKE,SYS,"19801005072789I, 19870309039779I"
"N759TY, CE-182",VEHICLE,20020619014309A
N759TY,VEHICLE,20020619014309A
CE-182,VEHICLE,20020619014309A
HOT SPRINGS,GPE,20020619014309A
ARKANSAS,GPE,20020619014309A
FAYETTEVILLE,GPE,20020619014309A
TENNESSEE,GPE,20020619014309A
REDUCED POWER,OPS,19951031041599A
OCEAN,LOC,19951031041599A
TEST FLIGHT FROM STORAGE,FLIGHT,19951031041599A
ELEVATOR CONTROL,SYS,19850729066139I
HARNESS,SYS,19850729066139I
ELEVATOR CABLE,SYS,19850729066139I
STICK BOOT,SYS,19850729066139I
FLOOR,SYS,19850729066139I
PRIVATE STRIP,FAC,19940226003029A
LEFT FUEL CAP,SYS,19940226003029A
ACFT DISPATCHER,PER,19780111000459A
TIEDROPE,OPS,19780111000459A
HELIPAD,FAC,20010411006739I
RPM CONTROL,SYS,20010411006739I
FLY POSITION,FLIGHT,20010411006739I
"COPPER TUBE, USED TO HOLD AERIAL BANNERS",OPS,19870816062719I
AERIAL BANNERS,OPS,19870816062719I
HOUSE,FAC,19870816062719I
LOCAL OPERATOR,PER,19870816062719I
MR. KADERA,PER,19980620030289I
HIGHWAY 93,FAC,19980620030289I
"THREE MILES EAST OF SUNMER, IOWA",LOC,19980620030289I
THREE MILES,QUANTITY,19980620030289I
SUNMER,GPE,19980620030289I
IOWA,GPE,19980620030289I
"SEPTEMBER 23, 1999",DATE,19990923027739A
1900 HOURS PACIFIC DAYLIGHT TIME,TIME,19990923027739A
"A HOMEBUILT CIERNIA GLASAIR III, N153JC",VEHICLE,19990923027739A
HOMEBUILT CIERNIA GLASAIR III,VEHICLE,19990923027739A
CIERNIA,ORG,19990923027739A
N153JC,VEHICLE,19990923027739A
NOSE BAGGAGE CARGO,OPS,19980415037339I
WOODEN WHEEL CHOCK,OPS,19980415037339I
EXPLOSION,PROB,19950826026019A
LOGS,OPS,19950826026019A
COMPRESSOR STALL,PROB,19950826026019A
NR1 ENGINE,SYS,19950826026019A
SE PROCEDURES,PROCEDURE,19950826026019A
"FEBRUARY 19, 2000",DATE,20000215041409A
1825 EASTERN STANDARD TIME,TIME,20000215041409A
"BEECH 1900D, N81SK",VEHICLE,20000215041409A
BEECH 1900D,VEHICLE,20000215041409A
BEECH,ORG,20000215041409A
N81SK,VEHICLE,20000215041409A
SKYWAY AIRLINE FLIGHT,FLIGHT,20000215041409A
SKYWAY AIRLINE,ORG,20000215041409A
TAILWHEEL,SYS,"19860514036219I, 19970828026989A"
INITIAL CLIMBOUT,PHASE,19880527016939A
SELECTED FUEL TANK,SYS,19880527016939A
TRIP,FLIGHT,"19880527016939A, 20050429009279I"
WITNESSES,PER,19960418007829A
DEPARTURE FROM A GRASS RUNWAY,PHASE,19960418007829A
GRASS RUNWAY,FAC,19960418007829A
LOUD POP ON TAKEOFF,PROB,19970828026989A
RUDDER CONTROL,OPS,19970828026989A
RUDDER,SYS,19970828026989A
RWY,FAC,19970828026989A
CORNFIELD,LOC,19970828026989A
CANOPY,SYS,19870523018729A
UNCONTROLLED GROUND COLLISION,PROB,19870523018729A
NO DEFECTS,PROB,19870523018729A
OIL FILLER CAP,SYS,20030620012809I
IT,,
THEY,,
THE PILOT,,
HE,,
SHE,,
HIS,,
HIM,,
SAME RUNWAY,,
THE AIRCRAFT,,
TANK,Secondary,"19800217031649I, 19880527016939A, 19901101064289I"
FUEL TANK SUMPS,Secondary,19800217031649I
SUMPS,Tertiary,19800217031649I
HYDRAULIC PUMP,Secondary,19841214074599I
PUMP,Tertiary,19841214074599I
LIGHT,Secondary,"19860128014289I, 20010910029739I"
BHT-47-G5,Secondary,20000215010329A
BELL HELICOPTER,Primary,20000215010329A
FUEL SYSTEM,Secondary,19801116083749I
ALTITUDE,Secondary,19850315007389A
PONTOON,Secondary,19900425011659A
STABILIZER,Secondary,19820725041999I
MANUAL,Secondary,19940412011509I
FIRE,Secondary,19971226042729I
LEVER,Secondary,19971226042729I
OIL TEMP,Secondary,19950619021589I
TEMP,Tertiary,19950619021589I
MAIN GEAR,Secondary,19950619021589I
STAND,Secondary,19790718019229I
TEAR,Secondary,19790718019229I
DC-10,Secondary,20000625032189I
SMELL,Secondary,19860530030499A
PLUGS,Secondary,19860530030499A
CARPETING,Secondary,19810303007119A
PEDAL,Secondary,19810303007119A
PROP,Secondary,"19950602032329I, 19960524045629A"
1535,Secondary,20050713014239I
B36TC,Secondary,20050713014239I
WATER,Secondary,"19780509032859I, 19791128035159A, 19860706034879A, 19950804028629A"
CARBURETOR,Secondary,19840121015319I
AILERON,Secondary,19950527014439A
TIE DOWN,Secondary,19960504009509A
FROST,Secondary,19790211002709A
POWER FAILURE,Secondary,19850418016709I
BAGGAGE DOOR,Secondary,"19780913017419I, 19951031041599A, 19960524045629A"
S-70A,Secondary,20050504010229A
ROTOR BLADE,Secondary,20050504010229A
BLADE,Tertiary,20050504010229A
SEATS,Secondary,19890723054159I
OXYGEN MASKS,Secondary,19890723054159I
CONDITIONS,Secondary,19970523014439I
CHAINS,Secondary,19970908038069A
PERSON,Secondary,19970908038069A
WIND,Secondary,"19920405008919A, 19970908038069A"
ATTITUDE,Secondary,19760606015529A
CREWMEMBER,Secondary,20051009024969I
STRUCTURE,Secondary,19801230089799I
EVIDENCE,Secondary,19980508008619A
OIL LEAK,Secondary,19940818022409A
LEAK,Tertiary,19940818022409A
ENGINE CASE,Secondary,19940818022409A
CASE,Tertiary,19940818022409A
SOD STRIP,Secondary,19920405008919A
NORTH WIND,Secondary,19920405008919A
INSPECTION,Secondary,19840821046409A
COMMUNICATION,Secondary,19861114075329I
ENCODING ALTIMETER,Secondary,19861114075329I
LOSS,Secondary,"19780509032859I, 20010421009329I"
STREET,Secondary,19871211075169A
GREEN LIGHT,Secondary,20010910029739I
LANDING GEAR,Secondary,"19980415037339I, 20010910029739I"
ERROR,Secondary,"19870523018729A, 19871027060859A"
BANG,Secondary,19980616023109I
SHOWER,Secondary,19791128035159A
FUEL EXHAUSTION,Secondary,19800804037399A
SIPHONING,Secondary,19800804037399A
VENT CAP,Secondary,19800804037399A
LANDING AREA,Secondary,19800804037399A
PLANE,Secondary,19890725041869I
1147 AM,Secondary,20030607012509A
TOUCH AND GO LANDINGS,Secondary,19781210024199I
LANDINGS,Tertiary,19781210024199I
SNOW,Secondary,19781210024199I
TOUCHDOWN,Secondary,20040304003309I
TIE DOWN STRAP,Secondary,19780916024019A
STRAP,Tertiary,19780916024019A
PILOT IN COMMAND (PIC),Primary,20060718018299I
FUEL TANK CAPS,Secondary,20060718018299I
CAPS,Tertiary,20060718018299I
FUEL CONTAMINATION,Secondary,20040925025079A
CONTAMINATION,Tertiary,20040925025079A
FILTER,Tertiary,20040925025079A
FUEL PUMP FILTER,Secondary,20040925025079A
ROD,Secondary,19961027033759A
HYDRO LOCK,Secondary,19961027033759A
LOCK,Tertiary,19961027033759A
CYL,Secondary,19961027033759A
WT,Secondary,19961027033759A
SHAFT,Secondary,19961027033759A
BRAKE PROBLEMS,Secondary,19870309039779I
TEST FLIGHT,Secondary,19951031041599A
DISPATCHER,Secondary,19780111000459A
POSITION,Secondary,20010411006739I
COPPER TUBE,Secondary,19870816062719I
TUBE,Tertiary,19870816062719I
BANNERS,Secondary,19870816062719I
OPERATOR,Secondary,19870816062719I
1900 HOURS,Secondary,19990923027739A
1900,Tertiary,19990923027739A
GLASAIR III,Secondary,19990923027739A
CARGO,Secondary,19980415037339I
WHEEL CHOCK,Secondary,19980415037339I
1825,Secondary,20000215041409A
LOUD POP ON TAKEOFF ROLL,Primary,19970828026989A
CONTROL,Secondary,19970828026989A
GROUND COLLISION,Secondary,19870523018729A
COLLISION,Tertiary,19870523018729A
DEFECTS,Secondary,19870523018729A
LOST CONTROL,re,19990213001379A
RAN INTO A DITCH,re,19990213001379A
STRUCK A TREE,re,19990213001379A
ENGINE QUIT,re,19800217031649I
WING TANKS NOT DRAINED,re,19800217031649I
FROZEN,re,19800217031649I
CRASHED,re,19790720021329A
LOST NOSEWHEEL STEERING AND BRAKES,re,19841214074599I
STRUCK 2 AIRCRAFT,re,19841214074599I
STRUCK FENCE,re,19841214074599I
HYDRAULIC PUMP OPEN,re,19841214074599I
FORWARD CARDO DOOR OPENED,re,19860128014289I
OBJECTS DROPPED OUT,re,19860128014289I
FORWARD CARGO DOOR OPENED,re,19860128014289I
PILOT IN COMMAND,re,20000215010329A
HELICOPTER MODEL,re,20000215010329A
ICE IN AUXILIARY SYSTEM,re,19801116083749I
ALTIMETER NOT IFR CERTIFIED,re,19850315007389A
FUEL SIPHONED,re,19900425011659A
RAN OUT OF FUEL,re,19900425011659A
ENGINE CUTTING OUT,re,19991230042089A
RETURNING TO LAND,re,19820725041999I
COWLING CAME OFF,re,19820725041999I
AIRCRAFT POPPED OPEN,re,19940412011509I
FLIGHT MANUAL FLEW OUT,re,19940412011509I
STRUCK TRUCK WINDSHIELD,re,19940412011509I
ENGINE FIRE,re,19971226042729I
CUT OFF,re,19971226042729I
SMOKE CLEARED,re,19971226042729I
NR2,re,19971226042729I
DEPARTING,re,19950619021589I
LANDED OFF AIRPORT,re,19950619021589I
LOW ON OIL,re,19950619021589I
BATTERY,re,19940815046149I
NOSE GEAR FAILED,re,19860228038269I
"RETURNED  RETURNED, HAS CAUSE, NOSE GEAR FAILED",re,19860228038269I
PIN HAD NOT BEEN REMOVED,re,19860228038269I
PIN HAD BEEN REMOVED,re,19860228038269I
DC-10 BOEING,re,20000625032189I
NOSED OVER,re,19860530030499A
FURROWS,re,19860530030499A
ACCESS DOOR SLIGHTLY OPEN,re,19821117066379I
DEPRESSURIZED,re,19821117066379I
ACCESS DOOR SLIGHTY OPENED,re,19821117066379I
STOPPED,re,19821117066379I
VEERED OFF RUNWAY,re,19810303007119A
HIT PARKED AIRPLANE,re,19810303007119A
RESTRICTED RUDDER PEDAL MOVEMENT,re,19810303007119A
VEERED OFF TAXIWAY,re,19950602032329I
STRUCK TAXIWAY LIGHT,re,19950602032329I
TAXING,re,19901101064289I
GAS ESCAPING,re,19901101064289I
FUEL CAP MISSING,re,19901101064289I
RAYTHEON ARICRAFT,re,20050713014239I
RAYTHEON AIRCRAFT,re,20050713014239I
LOST POWER,re,19860706034879A
AIRCRAFT FLIPPED,re,19860706034879A
ENGINE FAILED,re,19840121015319I
SOLID ICE,re,19840121015319I
GEAR BLOCKED DOWN,re,19960322013629I
FERRIED,re,19960322013629I
NOSE BLOCK FELL OUT,re,19960322013629I
ROLLED ON LIFT OFF,re,19960504009509A
FAILED TO LIFTOFF RUNWAY,re,19790211002709A
RAN OFF END,re,19790211002709A
LANDED IN FIELD,re,19850418016709I
FRONT BAGGAGE DOOR POPPED OPEN,re,19780913017419I
UNMARKED DITCH,re,19781113027039I
UNABLE TO STAY AIRBORNE,re,19870606018859A
ABORTED,re,19870606018859A
GROUND LOOPED,re,19870606018859A
AVOID OVERRUN,re,19870606018859A
OVERRUN,re,19870606018859A
DEPARTED,re,19990714022959I
HOURS OF DARKNESS,re,19990714022959I
NOSE GEAR WOULD NOT RETRACT,re,19870319012959I
PIN WAS INSTALLED,re,19870319012959I
TAXIING,re,20050429009279I
INSUFFICIENT NUMBER OF SEATS,re,19890723054159I
INSUFFICIENT NUMBER OF OXYGEN MASKS,re,19890723054159I
OXYGEN MASK,re,19890723054159I
CARGO DOOR LATCHED,re,19970523014439I
TIED SKIDS,re,19970908038069A
ROLLED OVER,re,19970908038069A
ET BLAST,re,19781108022239I
BAGGAGE CART WAS BLOWN,re,19781108022239I
